filename	decision	color_mad	color_p95_diff	width	height
000002.png	reject	16.5297	31.3333	512	256
000013.png	reject	12.0266	26.3333	512	256
000014.png	reject	10.1062	28.6667	512	256
000015.png	reject	9.6383	23.3333	512	256
000018.png	reject	11.4209	30.0000	512	256
000022.png	reject	12.3433	22.3333	512	256
000023.png	reject	10.7697	23.3333	512	256
000025.png	reject	11.7387	30.3333	512	256
000029.png	reject	22.3885	38.6667	512	256
000030.png	reject	20.2113	36.0000	512	256
000037.png	reject	8.4572	24.3333	512	256
000045.png	reject	11.9996	23.6667	512	256
000046.png	reject	10.6272	33.0000	512	256
000053.png	reject	10.1941	25.6667	512	256
000056.png	reject	19.5019	31.6667	512	256
000058.png	reject	21.8467	37.3333	512	256
000059.png	reject	13.4316	18.3333	512	256
000060.png	reject	7.6966	26.6667	512	256
000061.png	reject	14.2655	30.6667	512	256
000062.png	reject	13.7784	24.6667	512	256
000068.png	reject	8.4804	23.0000	512	256
000071.png	reject	10.9334	21.6667	512	256
000074.png	reject	12.2014	23.6667	512	256
000075.png	reject	8.8757	26.6667	512	256
000078.png	reject	10.0395	27.6667	512	256
000088.png	reject	22.2997	30.3333	512	256
000091.png	reject	7.8764	24.3333	512	256
000093.png	reject	15.4739	26.0000	512	256
000104.png	reject	16.4680	29.0000	512	256
000106.png	reject	16.3268	34.6667	512	256
000109.png	reject	14.9318	27.6667	512	256
000118.png	reject	22.9870	39.0000	512	256
000121.png	reject	10.3603	22.0000	512	256
000122.png	reject	12.6764	27.0000	512	256
000123.png	reject	8.9462	26.3333	512	256
000126.png	reject	15.5855	55.3333	512	256
000133.png	reject	18.2376	33.6667	512	256
000136.png	reject	10.0851	31.3333	512	256
000137.png	reject	26.1370	47.3333	512	256
000142.png	reject	17.7840	47.3333	512	256
000149.png	reject	12.0569	42.0000	512	256
000152.png	reject	8.4198	26.6667	512	256
000154.png	reject	12.8454	23.0000	512	256
000158.png	reject	12.3353	26.0000	512	256
000165.png	reject	19.2297	48.3333	512	256
000168.png	reject	10.6160	30.0000	512	256
000169.png	reject	11.9297	22.6667	512	256
000174.png	reject	13.5805	36.3333	512	256
000184.png	reject	6.3687	23.6667	512	256
000186.png	reject	16.3765	41.0000	512	256
000194.png	reject	22.8034	37.0000	512	256
000198.png	reject	14.7747	29.6667	512	256
000200.png	reject	20.1997	53.6667	512	256
000201.png	reject	9.5199	25.6667	512	256
000202.png	reject	13.3673	29.0000	512	256
000205.png	reject	14.8782	26.0000	512	256
000210.png	reject	12.3885	31.0000	512	256
000216.png	reject	10.1111	22.6667	512	256
000217.png	reject	20.0136	44.0000	512	256
