filename	decision	color_mad	color_p95_diff	width	height
000000.png	keep	1.3230	3.3333	512	256
000001.png	keep	4.8844	11.6667	512	256
000002.png	reject	16.5297	31.3333	512	256
000003.png	keep	5.8549	14.3333	512	256
000004.png	keep	5.1416	10.0000	512	256
000005.png	keep	3.1993	6.3333	512	256
000006.png	keep	4.4287	11.6667	512	256
000007.png	keep	4.7446	10.0000	512	256
000008.png	keep	6.8654	18.6667	512	256
000009.png	keep	6.7380	12.3333	512	256
000010.png	keep	5.2635	12.3333	512	256
000011.png	keep	9.1125	18.0000	512	256
000012.png	keep	5.3468	14.0000	512	256
000013.png	reject	12.0266	26.3333	512	256
000014.png	reject	10.1062	28.6667	512	256
000015.png	reject	9.6383	23.3333	512	256
000016.png	keep	1.9257	3.6667	512	256
000017.png	keep	5.2005	15.0000	512	256
000018.png	reject	11.4209	30.0000	512	256
000019.png	keep	7.2608	15.3333	512	256
000020.png	keep	7.0965	16.6667	512	256
000021.png	keep	9.0914	19.6667	512	256
000022.png	reject	12.3433	22.3333	512	256
000023.png	reject	10.7697	23.3333	512	256
000024.png	keep	9.0872	15.0000	512	256
000025.png	reject	11.7387	30.3333	512	256
000026.png	keep	4.6856	11.3333	512	256
000027.png	keep	2.6410	6.0000	512	256
000028.png	keep	5.9363	11.6667	512	256
000029.png	reject	22.3885	38.6667	512	256
000030.png	reject	20.2113	36.0000	512	256
000031.png	keep	2.6257	7.6667	512	256
000032.png	keep	4.5499	7.6667	512	256
000033.png	keep	3.5969	7.6667	512	256
000034.png	keep	8.0158	15.0000	512	256
000035.png	keep	4.4135	14.3333	512	256
000036.png	keep	5.4424	13.6667	512	256
000037.png	reject	8.4572	24.3333	512	256
000038.png	keep	8.2593	16.3333	512	256
000039.png	keep	5.5674	11.6667	512	256
000040.png	keep	3.4045	6.3333	512	256
000041.png	keep	6.7918	14.6667	512	256
000042.png	keep	7.9252	16.6667	512	256
000043.png	keep	3.1417	6.6667	512	256
000044.png	keep	2.6837	8.6667	512	256
000045.png	reject	11.9996	23.6667	512	256
000046.png	reject	10.6272	33.0000	512	256
000047.png	keep	3.8649	10.0000	512	256
000048.png	keep	5.0295	10.3333	512	256
000049.png	keep	7.9713	15.0000	512	256
000050.png	keep	5.6864	14.3333	512	256
000051.png	keep	3.7691	10.6667	512	256
000052.png	keep	6.1858	16.6667	512	256
000053.png	reject	10.1941	25.6667	512	256
000054.png	keep	7.8033	15.6667	512	256
000055.png	keep	4.4883	12.0000	512	256
000056.png	reject	19.5019	31.6667	512	256
000057.png	keep	5.4384	9.3333	512	256
000058.png	reject	21.8467	37.3333	512	256
000059.png	reject	13.4316	18.3333	512	256
000060.png	reject	7.6966	26.6667	512	256
000061.png	reject	14.2655	30.6667	512	256
000062.png	reject	13.7784	24.6667	512	256
000063.png	keep	3.4992	10.0000	512	256
000064.png	keep	1.4597	4.0000	512	256
000065.png	keep	4.5764	9.3333	512	256
000066.png	keep	7.3905	18.6667	512	256
000067.png	keep	7.0456	14.0000	512	256
000068.png	reject	8.4804	23.0000	512	256
000069.png	keep	6.4389	14.6667	512	256
000070.png	keep	7.2730	14.0000	512	256
000071.png	reject	10.9334	21.6667	512	256
000072.png	keep	4.9782	10.0000	512	256
000073.png	keep	7.5887	17.0000	512	256
000074.png	reject	12.2014	23.6667	512	256
000075.png	reject	8.8757	26.6667	512	256
000076.png	keep	3.6365	12.3333	512	256
000077.png	keep	5.5560	14.0000	512	256
000078.png	reject	10.0395	27.6667	512	256
000079.png	keep	4.4881	11.6667	512	256
000080.png	keep	1.8624	3.6667	512	256
000081.png	keep	4.7478	9.3333	512	256
000082.png	keep	8.6407	19.0000	512	256
000083.png	keep	5.6079	12.3333	512	256
000084.png	keep	5.3874	18.0000	512	256
000085.png	keep	6.9928	15.6667	512	256
000086.png	keep	4.2340	8.0000	512	256
000087.png	keep	7.3704	17.3333	512	256
000088.png	reject	22.2997	30.3333	512	256
000089.png	keep	4.8637	8.6667	512	256
000090.png	keep	6.4892	13.0000	512	256
000091.png	reject	7.8764	24.3333	512	256
000092.png	keep	4.6390	9.6667	512	256
000093.png	reject	15.4739	26.0000	512	256
000094.png	keep	7.1679	19.7500	512	256
000095.png	keep	4.0896	12.3333	512	256
000096.png	keep	1.4442	3.6667	512	256
000097.png	keep	6.6540	16.3333	512	256
000098.png	keep	5.7019	13.3333	512	256
000099.png	keep	4.6377	8.6667	512	256
000100.png	keep	6.3826	15.6667	512	256
000101.png	keep	3.8416	9.0000	512	256
000102.png	keep	5.8620	14.0000	512	256
000103.png	keep	3.8990	10.0000	512	256
000104.png	reject	16.4680	29.0000	512	256
000105.png	keep	9.9736	19.0000	512	256
000106.png	reject	16.3268	34.6667	512	256
000107.png	keep	2.3498	5.6667	512	256
000108.png	keep	6.6665	16.6667	512	256
000109.png	reject	14.9318	27.6667	512	256
000110.png	keep	5.8948	16.3333	512	256
000111.png	keep	2.0444	6.0000	512	256
000112.png	keep	1.2206	2.6667	512	256
000113.png	keep	5.5401	16.3333	512	256
000114.png	keep	8.9506	19.3333	512	256
000115.png	keep	5.1339	11.6667	512	256
000116.png	keep	5.7850	14.3333	512	256
000117.png	keep	5.5945	17.0000	512	256
000118.png	reject	22.9870	39.0000	512	256
000119.png	keep	4.9959	13.6667	512	256
000120.png	keep	7.8191	13.6667	512	256
000121.png	reject	10.3603	22.0000	512	256
000122.png	reject	12.6764	27.0000	512	256
000123.png	reject	8.9462	26.3333	512	256
000124.png	keep	2.9243	7.0000	512	256
000125.png	keep	6.4120	16.3333	512	256
000126.png	reject	15.5855	55.3333	512	256
000127.png	keep	7.7481	17.0000	512	256
000128.png	keep	4.3183	6.3333	512	256
000129.png	keep	5.6848	12.6667	512	256
000130.png	keep	3.8464	8.3333	512	256
000131.png	keep	3.2287	5.6667	512	256
000132.png	keep	9.0552	19.6667	512	256
000133.png	reject	18.2376	33.6667	512	256
000134.png	keep	5.3899	11.6667	512	256
000135.png	keep	4.3307	10.0000	512	256
000136.png	reject	10.0851	31.3333	512	256
000137.png	reject	26.1370	47.3333	512	256
000138.png	keep	9.2638	20.6667	512	256
000139.png	keep	2.8934	8.3333	512	256
000140.png	keep	2.9845	6.3333	512	256
