split	sample_id	status	reason	hr_mean_brightness	hr_bright_ratio	lr_mean_brightness	lr_bright_ratio	hr_path	lr_path
train_64_256	000000	kept	kept	110.136864	0.000000	66.351074	0.000000	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/hr_256/000000.tif	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/lr_64/000000.tif
train_64_256	000001	kept	kept	113.627663	0.000000	72.292068	0.000000	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/hr_256/000001.tif	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/lr_64/000001.tif
train_64_256	000002	kept	kept	92.900200	0.000046	66.516434	0.000000	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/hr_256/000002.tif	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/lr_64/000002.tif
train_64_256	000003	kept	kept	180.058258	0.008835	135.755539	0.005127	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/hr_256/000003.tif	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/lr_64/000003.tif
train_64_256	000004	kept	kept	183.100922	0.000443	121.316162	0.000000	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/hr_256/000004.tif	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/lr_64/000004.tif
train_64_256	000005	kept	kept	121.099709	0.000076	78.736740	0.000000	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/hr_256/000005.tif	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/lr_64/000005.tif
train_64_256	000006	kept	kept	133.961792	0.000000	113.532310	0.000000	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/hr_256/000006.tif	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/lr_64/000006.tif
train_64_256	000007	kept	kept	144.575134	0.000000	101.208572	0.000000	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/hr_256/000007.tif	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/lr_64/000007.tif
train_64_256	000008	kept	kept	131.687439	0.001694	95.281166	0.000488	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/hr_256/000008.tif	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/lr_64/000008.tif
train_64_256	000009	kept	kept	199.867996	0.083710	161.356201	0.007080	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/hr_256/000009.tif	make_dataset/fastdiffsr_s2_planet_strict/train_64_256/lr_64/000009.tif
