scene_id	source_side	planet_date	year_month	planet_path	bbox_epsg4326	bbox_epsg4326_pretty	width	height	crs
lower__20200316_155442_43_2304_3B_AnalyticMS_SR_8b_clip	lower	2020-03-16	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200316_155442_43_2304_3B_AnalyticMS_SR_8b_clip.tif	-90.452236,33.021468,-90.039977,33.270710	(-90.452236, 33.021468, -90.039977, 33.270710)	12597	8890	EPSG:32615
lower__20200316_155444_45_2304_3B_AnalyticMS_SR_8b_clip	lower	2020-03-16	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200316_155444_45_2304_3B_AnalyticMS_SR_8b_clip.tif	-90.482164,32.994468,-90.071749,33.144194	(-90.482164, 32.994468, -90.071749, 33.144194)	12649	5211	EPSG:32615
lower__20200326_160105_88_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160105_88_2277_3B_AnalyticMS_SR_8b_clip.tif	-91.703698,34.351519,-91.290494,34.598060	(-91.703698, 34.351519, -91.290494, 34.598060)	12520	8930	EPSG:32615
lower__20200326_160107_68_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160107_68_2277_3B_AnalyticMS_SR_8b_clip.tif	-91.732742,34.237907,-91.320155,34.484398	(-91.732742, 34.237907, -91.320155, 34.484398)	12521	8932	EPSG:32615
lower__20200326_160109_48_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160109_48_2277_3B_AnalyticMS_SR_8b_clip.tif	-91.761472,34.124604,-91.349527,34.371073	(-91.761472, 34.124604, -91.349527, 34.371073)	12521	8935	EPSG:32615
lower__20200326_160111_29_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160111_29_2277_3B_AnalyticMS_SR_8b_clip.tif	-91.790122,34.011183,-91.378818,34.257549	(-91.790122, 34.011183, -91.378818, 34.257549)	12521	8935	EPSG:32615
lower__20200326_160113_09_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160113_09_2277_3B_AnalyticMS_SR_8b_clip.tif	-91.819180,33.897595,-91.408579,34.143884	(-91.819180, 33.897595, -91.408579, 34.143884)	12519	8936	EPSG:32615
lower__20200326_160114_89_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160114_89_2277_3B_AnalyticMS_SR_8b_clip.tif	-91.848771,33.784084,-91.438838,34.030322	(-91.848771, 33.784084, -91.438838, 34.030322)	12518	8938	EPSG:32615
lower__20200326_160116_69_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160116_69_2277_3B_AnalyticMS_SR_8b_clip.tif	-91.878243,33.670857,-91.468877,33.916939	(-91.878243, 33.670857, -91.468877, 33.916939)	12520	8936	EPSG:32615
lower__20200326_160118_49_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160118_49_2277_3B_AnalyticMS_SR_8b_clip.tif	-91.907021,33.557585,-91.498279,33.803647	(-91.907021, 33.557585, -91.498279, 33.803647)	12520	8939	EPSG:32615
lower__20200326_160120_30_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160120_30_2277_3B_AnalyticMS_SR_8b_clip.tif	-91.935585,33.444707,-91.527496,33.690615	(-91.935585, 33.444707, -91.527496, 33.690615)	12519	8937	EPSG:32615
lower__20200326_160122_10_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160122_10_2277_3B_AnalyticMS_SR_8b_clip.tif	-91.963854,33.331112,-91.556382,33.577002	(-91.963854, 33.331112, -91.556382, 33.577002)	12519	8940	EPSG:32615
lower__20200326_160123_90_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160123_90_2277_3B_AnalyticMS_SR_8b_clip.tif	-91.992242,33.217183,-91.585354,33.463029	(-91.992242, 33.217183, -91.585354, 33.463029)	12520	8942	EPSG:32615
lower__20200326_160125_70_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160125_70_2277_3B_AnalyticMS_SR_8b_clip.tif	-92.020584,33.103352,-91.614308,33.349155	(-92.020584, 33.103352, -91.614308, 33.349155)	12520	8944	EPSG:32615
lower__20200326_160127_51_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160127_51_2277_3B_AnalyticMS_SR_8b_clip.tif	-92.050026,32.999597,-91.642678,33.236634	(-92.050026, 32.999597, -91.642678, 33.236634)	12575	8623	EPSG:32615
lower__20200326_160129_31_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160129_31_2277_3B_AnalyticMS_SR_8b_clip.tif	-92.077579,32.999676,-91.672013,33.123177	(-92.077579, 32.999676, -91.672013, 33.123177)	12575	4430	EPSG:32615
lower__20200326_160131_11_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160131_11_2277_3B_AnalyticMS_SR_8b_clip.tif	-92.105069,32.999775,-91.701166,33.010061	(-92.105069, 32.999775, -91.701166, 33.010061)	12576	249	EPSG:32615
lower__20200326_160344_55_2278_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160344_55_2278_3B_AnalyticMS_SR_8b_clip.tif	-92.299900,34.713947,-91.890826,34.759640	(-92.299900, 34.713947, -91.890826, 34.759640)	12470	1577	EPSG:32615
lower__20200326_160346_35_2278_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160346_35_2278_3B_AnalyticMS_SR_8b_clip.tif	-92.300851,34.601165,-91.919309,34.759397	(-92.300851, 34.601165, -91.919309, 34.759397)	11601	5747	EPSG:32615
lower__20200326_160348_15_2278_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160348_15_2278_3B_AnalyticMS_SR_8b_clip.tif	-92.301598,34.488483,-91.948381,34.735996	(-92.301598, 34.488483, -91.948381, 34.735996)	10717	9057	EPSG:32615
lower__20200326_160404_38_2278_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160404_38_2278_3B_AnalyticMS_SR_8b_clip.tif	-92.301541,33.469055,-92.214188,33.714805	(-92.301541, 33.469055, -92.214188, 33.714805)	2637	9064	EPSG:32615
lower__20200326_160406_18_2278_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160406_18_2278_3B_AnalyticMS_SR_8b_clip.tif	-92.301518,33.355157,-92.243255,33.600784	(-92.301518, 33.355157, -92.243255, 33.600784)	1741	9066	EPSG:32615
lower__20200326_160407_98_2278_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160407_98_2278_3B_AnalyticMS_SR_8b_clip.tif	-92.301524,33.241356,-92.272147,33.486789	(-92.301524, 33.241356, -92.272147, 33.486789)	849	9065	EPSG:32615
lower__20200511_155953_25_2263_3B_AnalyticMS_SR_8b_clip	lower	2020-05-11	2020-05	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_05_347144c1-6706-4f8a-bb48-becf953da024/347144c1-6706-4f8a-bb48-becf953da024/PSScene/20200511_155953_25_2263_3B_AnalyticMS_SR_8b_clip.tif	-90.899547,34.716670,-90.478757,34.764589	(-90.899547, 34.716670, -90.478757, 34.764589)	12816	1478	EPSG:32615
