stage	request_mode	request_id	scene_count	source_sides	year_months	covered_scene_ids	covered_planet_dates	bbox_epsg4326	bbox_epsg4326_pretty	window_source	window_days	merged_window_index	start_day	end_day	data_root	command
pm5	grouped	pm5__20200311_20200331__0001	2	lower	2020-03	lower__20200316_155442_43_2304_3B_AnalyticMS_SR_8b_clip,lower__20200316_155444_45_2304_3B_AnalyticMS_SR_8b_clip	2020-03-16	-90.482164,32.994468,-90.039977,33.270710	(-90.482164, 32.994468, -90.039977, 33.270710)	pm5_tsv	5	1	2020-03-11	2020-03-31	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200311_20200331__0001	python ar_deploy.py download --project ee-yukiikebe20010210 --start-day 2020-03-11 --end-day 2020-03-31 --roi-bbox=-90.482164,32.994468,-90.039977,33.270710 --data-root /scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200311_20200331__0001 --cloud-thresh 100 --band-preset rgb_scl --download-workers 8
pm5	grouped	pm5__20200311_20200331__0002	14	lower	2020-03	lower__20200326_160107_68_2277_3B_AnalyticMS_SR_8b_clip,lower__20200326_160109_48_2277_3B_AnalyticMS_SR_8b_clip,lower__20200326_160111_29_2277_3B_AnalyticMS_SR_8b_clip,lower__20200326_160113_09_2277_3B_AnalyticMS_SR_8b_clip,lower__20200326_160114_89_2277_3B_AnalyticMS_SR_8b_clip,lower__20200326_160116_69_2277_3B_AnalyticMS_SR_8b_clip,lower__20200326_160118_49_2277_3B_AnalyticMS_SR_8b_clip,lower__20200326_160120_30_2277_3B_AnalyticMS_SR_8b_clip,lower__20200326_160122_10_2277_3B_AnalyticMS_SR_8b_clip,lower__20200326_160123_90_2277_3B_AnalyticMS_SR_8b_clip,lower__20200326_160125_70_2277_3B_AnalyticMS_SR_8b_clip,lower__20200326_160127_51_2277_3B_AnalyticMS_SR_8b_clip,lower__20200326_160129_31_2277_3B_AnalyticMS_SR_8b_clip,lower__20200326_160131_11_2277_3B_AnalyticMS_SR_8b_clip	2020-03-26	-92.105069,32.999597,-91.320155,34.484398	(-92.105069, 32.999597, -91.320155, 34.484398)	pm5_tsv	5	1	2020-03-11	2020-03-31	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200311_20200331__0002	python ar_deploy.py download --project ee-yukiikebe20010210 --start-day 2020-03-11 --end-day 2020-03-31 --roi-bbox=-92.105069,32.999597,-91.320155,34.484398 --data-root /scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200311_20200331__0002 --cloud-thresh 100 --band-preset rgb_scl --download-workers 8
pm5	grouped	pm5__20200311_20200331__0003	1	lower	2020-03	lower__20200326_160105_88_2277_3B_AnalyticMS_SR_8b_clip	2020-03-26	-91.703698,34.351519,-91.290494,34.598060	(-91.703698, 34.351519, -91.290494, 34.598060)	pm5_tsv	5	1	2020-03-11	2020-03-31	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200311_20200331__0003	python ar_deploy.py download --project ee-yukiikebe20010210 --start-day 2020-03-11 --end-day 2020-03-31 --roi-bbox=-91.703698,34.351519,-91.290494,34.598060 --data-root /scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200311_20200331__0003 --cloud-thresh 100 --band-preset rgb_scl --download-workers 8
pm5	grouped	pm5__20200311_20200331__0004	3	lower	2020-03	lower__20200326_160344_55_2278_3B_AnalyticMS_SR_8b_clip,lower__20200326_160346_35_2278_3B_AnalyticMS_SR_8b_clip,lower__20200326_160348_15_2278_3B_AnalyticMS_SR_8b_clip	2020-03-26	-92.301598,34.488483,-91.890826,34.759640	(-92.301598, 34.488483, -91.890826, 34.759640)	pm5_tsv	5	1	2020-03-11	2020-03-31	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200311_20200331__0004	python ar_deploy.py download --project ee-yukiikebe20010210 --start-day 2020-03-11 --end-day 2020-03-31 --roi-bbox=-92.301598,34.488483,-91.890826,34.759640 --data-root /scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200311_20200331__0004 --cloud-thresh 100 --band-preset rgb_scl --download-workers 8
pm5	grouped	pm5__20200311_20200331__0005	3	lower	2020-03	lower__20200326_160404_38_2278_3B_AnalyticMS_SR_8b_clip,lower__20200326_160406_18_2278_3B_AnalyticMS_SR_8b_clip,lower__20200326_160407_98_2278_3B_AnalyticMS_SR_8b_clip	2020-03-26	-92.301541,33.241356,-92.214188,33.714805	(-92.301541, 33.241356, -92.214188, 33.714805)	pm5_tsv	5	1	2020-03-11	2020-03-31	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200311_20200331__0005	python ar_deploy.py download --project ee-yukiikebe20010210 --start-day 2020-03-11 --end-day 2020-03-31 --roi-bbox=-92.301541,33.241356,-92.214188,33.714805 --data-root /scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200311_20200331__0005 --cloud-thresh 100 --band-preset rgb_scl --download-workers 8
pm5	grouped	pm5__20200506_20200523__0006	11	lower	2020-05	lower__20200511_160002_02_2263_3B_AnalyticMS_SR_8b_clip,lower__20200511_160004_21_2263_3B_AnalyticMS_SR_8b_clip,lower__20200511_160006_40_2263_3B_AnalyticMS_SR_8b_clip,lower__20200511_160008_59_2263_3B_AnalyticMS_SR_8b_clip,lower__20200511_160010_79_2263_3B_AnalyticMS_SR_8b_clip,lower__20200511_160012_98_2263_3B_AnalyticMS_SR_8b_clip,lower__20200511_160015_17_2263_3B_AnalyticMS_SR_8b_clip,lower__20200511_160017_36_2263_3B_AnalyticMS_SR_8b_clip,lower__20200511_160019_56_2263_3B_AnalyticMS_SR_8b_clip,lower__20200511_160021_75_2263_3B_AnalyticMS_SR_8b_clip,lower__20200511_160023_94_2263_3B_AnalyticMS_SR_8b_clip	2020-05-11	-91.386554,32.997200,-90.619284,34.419685	(-91.386554, 32.997200, -90.619284, 34.419685)	pm5_tsv	5	1	2020-05-06	2020-05-23	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0006	python ar_deploy.py download --project ee-yukiikebe20010210 --start-day 2020-05-06 --end-day 2020-05-23 --roi-bbox=-91.386554,32.997200,-90.619284,34.419685 --data-root /scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0006 --cloud-thresh 100 --band-preset rgb_scl --download-workers 8
pm5	grouped	pm5__20200506_20200523__0007	4	lower	2020-05	lower__20200511_155953_25_2263_3B_AnalyticMS_SR_8b_clip,lower__20200511_155955_44_2263_3B_AnalyticMS_SR_8b_clip,lower__20200511_155957_63_2263_3B_AnalyticMS_SR_8b_clip,lower__20200511_155959_82_2263_3B_AnalyticMS_SR_8b_clip	2020-05-11	-91.006384,34.305377,-90.478757,34.764589	(-91.006384, 34.305377, -90.478757, 34.764589)	pm5_tsv	5	1	2020-05-06	2020-05-23	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0007	python ar_deploy.py download --project ee-yukiikebe20010210 --start-day 2020-05-06 --end-day 2020-05-23 --roi-bbox=-91.006384,34.305377,-90.478757,34.764589 --data-root /scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0007 --cloud-thresh 100 --band-preset rgb_scl --download-workers 8
pm5	grouped	pm5__20200506_20200523__0008	11	lower	2020-05	lower__20200518_160603_46_2304_3B_AnalyticMS_SR_8b_clip,lower__20200518_160605_66_2304_3B_AnalyticMS_SR_8b_clip,lower__20200518_160607_87_2304_3B_AnalyticMS_SR_8b_clip,lower__20200518_160610_07_2304_3B_AnalyticMS_SR_8b_clip,lower__20200518_160612_28_2304_3B_AnalyticMS_SR_8b_clip,lower__20200518_160614_48_2304_3B_AnalyticMS_SR_8b_clip,lower__20200518_160616_68_2304_3B_AnalyticMS_SR_8b_clip,lower__20200518_160618_89_2304_3B_AnalyticMS_SR_8b_clip,lower__20200518_160621_09_2304_3B_AnalyticMS_SR_8b_clip,lower__20200518_160623_30_2304_3B_AnalyticMS_SR_8b_clip,lower__20200518_160625_50_2304_3B_AnalyticMS_SR_8b_clip	2020-05-18	-92.301655,33.002257,-91.802859,34.488426	(-92.301655, 33.002257, -91.802859, 34.488426)	pm5_tsv	5	1	2020-05-06	2020-05-23	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0008	python ar_deploy.py download --project ee-yukiikebe20010210 --start-day 2020-05-06 --end-day 2020-05-23 --roi-bbox=-92.301655,33.002257,-91.802859,34.488426 --data-root /scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0008 --cloud-thresh 100 --band-preset rgb_scl --download-workers 8
pm5	grouped	pm5__20200506_20200523__0009	3	lower	2020-05	lower__20200518_160556_84_2304_3B_AnalyticMS_SR_8b_clip,lower__20200518_160559_05_2304_3B_AnalyticMS_SR_8b_clip,lower__20200518_160601_25_2304_3B_AnalyticMS_SR_8b_clip	2020-05-18	-92.192891,34.372081,-91.693870,34.760457	(-92.192891, 34.372081, -91.693870, 34.760457)	pm5_tsv	5	1	2020-05-06	2020-05-23	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0009	python ar_deploy.py download --project ee-yukiikebe20010210 --start-day 2020-05-06 --end-day 2020-05-23 --roi-bbox=-92.192891,34.372081,-91.693870,34.760457 --data-root /scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200506_20200523__0009 --cloud-thresh 100 --band-preset rgb_scl --download-workers 8
pm5	grouped	pm5__20200705_20200723__0010	12	lower	2020-07	lower__20200717_160410_78_2271_3B_AnalyticMS_SR_8b_clip,lower__20200718_160613_28_2259_3B_AnalyticMS_SR_8b_clip,lower__20200718_160615_49_2259_3B_AnalyticMS_SR_8b_clip,lower__20200718_160617_69_2259_3B_AnalyticMS_SR_8b_clip,lower__20200718_160619_90_2259_3B_AnalyticMS_SR_8b_clip,lower__20200718_160622_10_2259_3B_AnalyticMS_SR_8b_clip,lower__20200718_160624_31_2259_3B_AnalyticMS_SR_8b_clip,lower__20200718_160626_51_2259_3B_AnalyticMS_SR_8b_clip,lower__20200718_160628_72_2259_3B_AnalyticMS_SR_8b_clip,lower__20200718_160630_93_2259_3B_AnalyticMS_SR_8b_clip,lower__20200718_160633_13_2259_3B_AnalyticMS_SR_8b_clip,lower__20200718_160635_34_2259_3B_AnalyticMS_SR_8b_clip	2020-07-17,2020-07-18	-92.283047,32.999159,-91.501502,34.419952	(-92.283047, 32.999159, -91.501502, 34.419952)	pm5_tsv	5	1	2020-07-05	2020-07-23	/scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200705_20200723__0010	python ar_deploy.py download --project ee-yukiikebe20010210 --start-day 2020-07-05 --end-day 2020-07-23 --roi-bbox=-92.283047,32.999159,-91.501502,34.419952 --data-root /scrfs/storage/yikebe/home/research/AR_Crop_Identification/make_dataset/raw_sentinel/pm5/pm5__20200705_20200723__0010 --cloud-thresh 100 --band-preset rgb_scl --download-workers 8
