year_month	source_sides	planet_date	window_days	start_day	end_day
2020-03	lower_only	2020-03-16	5	2020-03-11	2020-03-21
2020-03	lower_only	2020-03-26	5	2020-03-21	2020-03-31
2020-05	lower_only	2020-05-11	5	2020-05-06	2020-05-16
2020-05	lower_only	2020-05-18	5	2020-05-13	2020-05-23
2020-07	lower_only	2020-07-10	5	2020-07-05	2020-07-15
2020-07	lower_only	2020-07-12	5	2020-07-07	2020-07-17
2020-07	lower_only	2020-07-13	5	2020-07-08	2020-07-18
2020-07	lower_only	2020-07-17	5	2020-07-12	2020-07-22
2020-07	lower_only	2020-07-18	5	2020-07-13	2020-07-23
2020-09	lower_only	2020-09-10	5	2020-09-05	2020-09-15
2020-09	lower_only	2020-09-11	5	2020-09-06	2020-09-16
2020-09	lower_only	2020-09-12	5	2020-09-07	2020-09-17
2020-09	lower_only	2020-09-14	5	2020-09-09	2020-09-19
2020-09	lower_only	2020-09-15	5	2020-09-10	2020-09-20
2020-09	lower_only	2020-09-17	5	2020-09-12	2020-09-22
2020-09	lower_only	2020-09-18	5	2020-09-13	2020-09-23
2020-09	lower_only	2020-09-19	5	2020-09-14	2020-09-24
2020-11	lower_only	2020-11-10	5	2020-11-05	2020-11-15
2020-11	lower_only	2020-11-11	5	2020-11-06	2020-11-16
2020-11	lower_only	2020-11-12	5	2020-11-07	2020-11-17
2020-11	lower_only	2020-11-13	5	2020-11-08	2020-11-18
2020-11	lower_only	2020-11-15	5	2020-11-10	2020-11-20
2020-11	lower_only	2020-11-16	5	2020-11-11	2020-11-21
2020-11	lower_only	2020-11-17	5	2020-11-12	2020-11-22
2020-11	lower_only	2020-11-18	5	2020-11-13	2020-11-23
2020-11	lower_only	2020-11-19	5	2020-11-14	2020-11-24
2021-01	both	2021-01-12	5	2021-01-07	2021-01-17
2021-01	both	2021-01-13	5	2021-01-08	2021-01-18
2021-01	both	2021-01-14	5	2021-01-09	2021-01-19
2021-01	both	2021-01-15	5	2021-01-10	2021-01-20
2021-01	both	2021-01-16	5	2021-01-11	2021-01-21
2021-01	both	2021-01-17	5	2021-01-12	2021-01-22
2021-01	both	2021-01-18	5	2021-01-13	2021-01-23
2021-03	both	2021-03-12	5	2021-03-07	2021-03-17
2021-03	both	2021-03-13	5	2021-03-08	2021-03-18
2021-03	both	2021-03-14	5	2021-03-09	2021-03-19
2021-03	both	2021-03-15	5	2021-03-10	2021-03-20
2021-03	both	2021-03-16	5	2021-03-11	2021-03-21
2021-03	both	2021-03-19	5	2021-03-14	2021-03-24
2021-05	both	2021-05-12	5	2021-05-07	2021-05-17
2021-05	both	2021-05-13	5	2021-05-08	2021-05-18
2021-05	both	2021-05-14	5	2021-05-09	2021-05-19
2021-05	both	2021-05-15	5	2021-05-10	2021-05-20
2021-05	both	2021-05-16	5	2021-05-11	2021-05-21
2021-07	upper_only	2021-07-10	5	2021-07-05	2021-07-15
2021-07	upper_only	2021-07-13	5	2021-07-08	2021-07-18
2021-07	upper_only	2021-07-14	5	2021-07-09	2021-07-19
2021-07	upper_only	2021-07-15	5	2021-07-10	2021-07-20
2021-07	upper_only	2021-07-17	5	2021-07-12	2021-07-22
2021-09	both	2021-09-10	5	2021-09-05	2021-09-15
2021-09	both	2021-09-11	5	2021-09-06	2021-09-16
2021-09	both	2021-09-12	5	2021-09-07	2021-09-17
2021-09	both	2021-09-13	5	2021-09-08	2021-09-18
2021-09	both	2021-09-14	5	2021-09-09	2021-09-19
2021-09	both	2021-09-15	5	2021-09-10	2021-09-20
2021-09	both	2021-09-16	5	2021-09-11	2021-09-21
2021-11	both	2021-11-10	5	2021-11-05	2021-11-15
2021-11	both	2021-11-11	5	2021-11-06	2021-11-16
2021-11	both	2021-11-12	5	2021-11-07	2021-11-17
2021-11	both	2021-11-13	5	2021-11-08	2021-11-18
2021-11	both	2021-11-14	5	2021-11-09	2021-11-19
2021-11	both	2021-11-15	5	2021-11-10	2021-11-20
2021-11	both	2021-11-16	5	2021-11-11	2021-11-21
2021-11	both	2021-11-17	5	2021-11-12	2021-11-22
2021-11	both	2021-11-18	5	2021-11-13	2021-11-23
2021-11	both	2021-11-19	5	2021-11-14	2021-11-24
2022-01	both	2022-01-10	5	2022-01-05	2022-01-15
2022-01	both	2022-01-11	5	2022-01-06	2022-01-16
2022-01	both	2022-01-12	5	2022-01-07	2022-01-17
2022-01	both	2022-01-13	5	2022-01-08	2022-01-18
2022-01	both	2022-01-14	5	2022-01-09	2022-01-19
2022-01	both	2022-01-16	5	2022-01-11	2022-01-21
2022-01	both	2022-01-17	5	2022-01-12	2022-01-22
2022-01	both	2022-01-18	5	2022-01-13	2022-01-23
2022-03	both	2022-03-10	5	2022-03-05	2022-03-15
